HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2024-01-31T22:00:00,2024-01-31T23:00:00,DK1,296.149994,39.73
2024-01-31T21:00:00,2024-01-31T22:00:00,DK1,249.929993,33.529999
2024-01-31T20:00:00,2024-01-31T21:00:00,DK1,254.179993,34.099998
2024-01-31T19:00:00,2024-01-31T20:00:00,DK1,274.309998,36.799999
2024-01-31T18:00:00,2024-01-31T19:00:00,DK1,307.399994,41.240002
2024-01-31T17:00:00,2024-01-31T18:00:00,DK1,350.26001,46.990002
2024-01-31T16:00:00,2024-01-31T17:00:00,DK1,367.929993,49.360001
2024-01-31T15:00:00,2024-01-31T16:00:00,DK1,297.559998,39.919998
2024-01-31T14:00:00,2024-01-31T15:00:00,DK1,297.940002,39.970001
2024-01-31T13:00:00,2024-01-31T14:00:00,DK1,298.529999,40.049999
2024-01-31T12:00:00,2024-01-31T13:00:00,DK1,346.01001,46.419998
2024-01-31T11:00:00,2024-01-31T12:00:00,DK1,400.5,53.73
2024-01-31T10:00:00,2024-01-31T11:00:00,DK1,400.350006,53.709999
2024-01-31T09:00:00,2024-01-31T10:00:00,DK1,414.890015,55.66
2024-01-31T08:00:00,2024-01-31T09:00:00,DK1,421.899994,56.599998
2024-01-31T07:00:00,2024-01-31T08:00:00,DK1,431.589996,57.900002
2024-01-31T06:00:00,2024-01-31T07:00:00,DK1,424.209991,56.91
2024-01-31T05:00:00,2024-01-31T06:00:00,DK1,410.040009,55.009998
2024-01-31T04:00:00,2024-01-31T05:00:00,DK1,378.73999,50.810001
2024-01-31T03:00:00,2024-01-31T04:00:00,DK1,383.059998,51.389999
2024-01-31T02:00:00,2024-01-31T03:00:00,DK1,380.600006,51.060001
2024-01-31T01:00:00,2024-01-31T02:00:00,DK1,382.089996,51.259998
2024-01-31T00:00:00,2024-01-31T01:00:00,DK1,382.98999,51.380001
2024-01-30T23:00:00,2024-01-31T00:00:00,DK1,384.700012,51.610001
2024-01-30T22:00:00,2024-01-30T23:00:00,DK1,396.929993,53.25
2024-01-30T21:00:00,2024-01-30T22:00:00,DK1,399.23999,53.560001
2024-01-30T20:00:00,2024-01-30T21:00:00,DK1,401.929993,53.919998
2024-01-30T19:00:00,2024-01-30T20:00:00,DK1,422.799988,56.720001
2024-01-30T18:00:00,2024-01-30T19:00:00,DK1,435.690002,58.450001
2024-01-30T17:00:00,2024-01-30T18:00:00,DK1,457.829987,61.419998
2024-01-30T16:00:00,2024-01-30T17:00:00,DK1,535.950012,71.900002
2024-01-30T15:00:00,2024-01-30T16:00:00,DK1,475.049988,63.73
2024-01-30T14:00:00,2024-01-30T15:00:00,DK1,466.929993,62.639999
2024-01-30T13:00:00,2024-01-30T14:00:00,DK1,477.209991,64.019997
2024-01-30T12:00:00,2024-01-30T13:00:00,DK1,474.75,63.689999
2024-01-30T11:00:00,2024-01-30T12:00:00,DK1,475.649994,63.810001
2024-01-30T10:00:00,2024-01-30T11:00:00,DK1,487.200012,65.360001
2024-01-30T09:00:00,2024-01-30T10:00:00,DK1,575.080017,77.150002
2024-01-30T08:00:00,2024-01-30T09:00:00,DK1,631.140015,84.669998
2024-01-30T07:00:00,2024-01-30T08:00:00,DK1,622.48999,83.510002
2024-01-30T06:00:00,2024-01-30T07:00:00,DK1,561.219971,75.290001
2024-01-30T05:00:00,2024-01-30T06:00:00,DK1,511.869995,68.669998
2024-01-30T04:00:00,2024-01-30T05:00:00,DK1,517.090027,69.370003
2024-01-30T03:00:00,2024-01-30T04:00:00,DK1,500.769989,67.18
2024-01-30T02:00:00,2024-01-30T03:00:00,DK1,502.709991,67.440002
2024-01-30T01:00:00,2024-01-30T02:00:00,DK1,517.090027,69.370003
2024-01-30T00:00:00,2024-01-30T01:00:00,DK1,512.77002,68.790001
2024-01-29T23:00:00,2024-01-30T00:00:00,DK1,536.25,71.940002
2024-01-29T22:00:00,2024-01-29T23:00:00,DK1,598.539978,80.290001
2024-01-29T21:00:00,2024-01-29T22:00:00,DK1,621.869995,83.419998
2024-01-29T20:00:00,2024-01-29T21:00:00,DK1,646.98999,86.790001
2024-01-29T19:00:00,2024-01-29T20:00:00,DK1,685.679993,91.980003
2024-01-29T18:00:00,2024-01-29T19:00:00,DK1,801.530029,107.519997
2024-01-29T17:00:00,2024-01-29T18:00:00,DK1,874.440002,117.300003
2024-01-29T16:00:00,2024-01-29T17:00:00,DK1,949.880005,127.419998
2024-01-29T15:00:00,2024-01-29T16:00:00,DK1,808.309998,108.43
2024-01-29T14:00:00,2024-01-29T15:00:00,DK1,727.580017,97.599998
2024-01-29T13:00:00,2024-01-29T14:00:00,DK1,615.390015,82.550003
2024-01-29T12:00:00,2024-01-29T13:00:00,DK1,559.030029,74.989998
2024-01-29T11:00:00,2024-01-29T12:00:00,DK1,523.619995,70.239998
