HourUTC,HourDK,PriceArea,CentralPowerMWh,LocalPowerMWh,CommercialPowerMWh,LocalPowerSelfConMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh,HydroPowerMWh,SolarPowerLt10kW_MWh,SolarPowerGe10Lt40kW_MWh,SolarPowerGe40kW_MWh,SolarPowerSelfConMWh,UnknownProdMWh,ExchangeNO_MWh,ExchangeSE_MWh,ExchangeGE_MWh,ExchangeNL_MWh,ExchangeGB_MWh,ExchangeGreatBelt_MWh,GrossConsumptionMWh,GridLossTransmissionMWh,GridLossInterconnectorsMWh,GridLossDistributionMWh,PowerToHeatMWh
2024-01-31T22:00:00,2024-01-31T23:00:00,DK1,422.799437,98.896055,78.796125,23.288701,249.773187,1092.959233,12.318345,3062.124499,3.87659,0.123808,0.040062,0.54875,0.0,3e-06,-1703.5612,-11.236,615.5268,0.0,-1377.204321,588.0,3157.070074,103.943365,61.7942,148.698093,358.175759
2024-01-31T22:00:00,2024-01-31T23:00:00,DK2,270.178741,40.582431,49.99937,11.191695,36.7068,938.499866,1.639195,635.592716,0.0,0.102481,0.013873,0.004123,0.0,1.33649,,978.66175,-664.317992,,,-598.0,1702.191539,60.510895,14.336992,81.585824,64.82298
2024-01-31T21:00:00,2024-01-31T22:00:00,DK1,367.370059,98.061664,81.203232,25.252757,249.960344,1099.998324,14.05631,3389.445504,3.882608,0.173496,0.049405,0.593179,0.0,0.0,-1651.7972,249.371,204.0189,0.0,-1305.838347,588.0,3413.801235,115.459595,55.9782,166.17958,382.680542
2024-01-31T21:00:00,2024-01-31T22:00:00,DK2,325.521505,40.839485,48.293048,10.364646,37.3513,938.203844,1.661461,644.472592,0.0,0.10375,0.019048,0.002948,0.0,1.42138,,997.549,-660.623992,,,-598.2,1786.980015,59.668842,14.500992,84.49377,63.15068
2024-01-31T20:00:00,2024-01-31T21:00:00,DK1,363.148485,85.427848,81.418604,25.139284,250.606025,1097.575383,14.679172,3447.188658,3.882028,0.196851,0.049871,0.616271,0.0,1e-06,-1213.0467,116.346,112.1263,0.0,-1382.814422,587.9,3590.439659,108.267595,34.3747,173.773981,384.439694
2024-01-31T20:00:00,2024-01-31T21:00:00,DK2,401.663249,42.177146,48.9361,8.043084,37.4879,937.787538,1.638071,634.403467,0.0,0.116185,0.019342,0.004609,0.0,1.79662,,1033.09,-660.093008,,,-598.0,1889.070303,57.83044,14.283008,88.446911,64.82496
2024-01-31T19:00:00,2024-01-31T20:00:00,DK1,359.678232,87.594578,87.359014,25.414707,248.045908,1097.403808,14.69901,3448.60869,3.87739,0.225505,0.051123,0.639681,0.0,1e-06,-961.6368,-116.688,16.5738,0.0,-1264.012577,587.9,3635.73407,97.64331,27.6058,173.685071,354.23938
2024-01-31T19:00:00,2024-01-31T20:00:00,DK2,498.586699,47.637175,67.984699,7.441013,37.7286,936.387005,1.564033,621.193604,0.0,0.151184,0.022701,0.002995,0.0,1.91118,,1024.31925,-660.281,,,-598.0,1986.649138,57.702995,14.388,90.703369,58.16691
2024-01-31T18:00:00,2024-01-31T19:00:00,DK1,395.521168,98.10989,87.017802,25.556074,248.324641,1098.335091,14.568673,3439.737841,3.890088,0.241472,0.053825,0.640308,0.0,1e-06,-846.6215,-177.598,72.7025,0.0,-1453.60529,588.0,3594.874584,98.584117,24.4095,176.739809,318.456103
2024-01-31T18:00:00,2024-01-31T19:00:00,DK2,492.562443,48.059958,150.246855,7.3553,37.828,934.506624,1.485238,608.175426,0.0,0.199215,0.033159,0.004436,0.0,1.79815,,1043.6365,-660.400984,,,-598.2,2067.29032,56.21802,14.273984,95.263878,24.53302
